x,y
17.2314,17.2314
-17.2314,17.2314
17.2314,-17.2314
-17.2314,-17.2314
16.7229,17.7229
17.7229,16.7229
-16.7229,17.7229
-17.7229,16.7229
17.7229,-16.7229
16.7229,-17.7229
-17.7229,-16.7229
-16.7229,-17.7229
16.9534,17.5
17.5,16.9534
-16.9534,17.5
-17.5,16.9534
17.5,-16.9534
16.9534,-17.5
-17.5,-16.9534
-16.9534,-17.5
16.1961,18.1961
-16.1961,18.1961
18.1961,16.1961
-18.1961,16.1961
18.1961,-16.1961
16.1961,-18.1961
-18.1961,-16.1961
-16.1961,-18.1961
16.4137,18
18,16.4137
-16.4137,18
-18,16.4137
18,-16.4137
16.4137,-18
-18,-16.4137
-16.4137,-18
16,18.3604
-16,18.3604
18.3604,16
-18.3604,16
18.3604,-16
16,-18.3604
-18.3604,-16
-16,-18.3604
15.6501,18.6501
-15.6501,18.6501
18.6501,15.6501
-18.6501,15.6501
18.6501,-15.6501
15.6501,-18.6501
-18.6501,-15.6501
-15.6501,-18.6501
15.5,18.7674
-15.5,18.7674
18.7674,15.5
-18.7674,15.5
18.7674,-15.5
15.5,-18.7674
-18.7674,-15.5
-15.5,-18.7674
15.0859,19.0859
-15.0859,19.0859
19.0859,15.0859
-19.0859,15.0859
19.0859,-15.0859
15.0859,-19.0859
-19.0859,-15.0859
-15.0859,-19.0859
14.509,19.5
-14.509,19.5
19.5,14.509
-19.5,14.509
19.5,-14.509
14.509,-19.5
-19.5,-14.509
-14.509,-19.5
14.5038,19.5038
-14.5038,19.5038
19.5038,14.5038
-19.5038,14.5038
19.5038,-14.5038
14.5038,-19.5038
-19.5038,-14.5038
-14.5038,-19.5038
14.4811,19.5189
-14.4811,19.5189
19.5189,14.4811
-19.5189,14.4811
19.5189,-14.4811
14.4811,-19.5189
-19.5189,-14.4811
-14.4811,-19.5189
14,19.8422
-14,19.8422
19.8422,14
-19.8422,14
19.8422,-14
14,-19.8422
-19.8422,-14
-14,-19.8422
13.9044,19.9044
-13.9044,19.9044
19.9044,13.9044
-19.9044,13.9044
19.9044,-13.9044
13.9044,-19.9044
-19.9044,-13.9044
-13.9044,-19.9044
13.7474,20
-13.7474,20
20,13.7474
-20,13.7474
20,-13.7474
13.7474,-20
-20,-13.7474
-13.7474,-20
13.2861,20.2861
-13.2861,20.2861
20.2861,13.2861
-20.2861,13.2861
20.2861,-13.2861
13.2861,-20.2861
-20.2861,-13.2861
-13.2861,-20.2861
12.908,20.5
-12.908,20.5
20.5,12.908
-20.5,12.908
20.5,-12.908
12.908,-20.5
-20.5,-12.908
-12.908,-20.5
12.6495,20.6495
-12.6495,20.6495
20.6495,12.6495
-20.6495,12.6495
20.6495,-12.6495
12.6495,-20.6495
-20.6495,-12.6495
-12.6495,-20.6495
-12.5,20.731
12.5,20.731
20.731,12.5
-20.731,12.5
20.731,-12.5
12.5,-20.731
-20.731,-12.5
-12.5,-20.731
-12.0219,20.9781
12.0219,20.9781
20.9781,12.0219
-20.9781,12.0219
20.9781,-12.0219
12.0219,-20.9781
-20.9781,-12.0219
-12.0219,-20.9781
-12,20.9897
12,20.9897
20.9897,12
-20.9897,12
20.9897,-12
12,-20.9897
-20.9897,-12
-12,-20.9897
-11.9932,20.9932
11.9932,20.9932
20.9932,11.9932
-20.9932,11.9932
20.9932,-11.9932
11.9932,-20.9932
-20.9932,-11.9932
-11.9932,-20.9932
-11.5,21.2367
11.5,21.2367
21.2367,11.5
-21.2367,11.5
21.2367,-11.5
-21.2367,-11.5
11.5,-21.2367
-11.5,-21.2367
-11.3204,21.3204
11.3204,21.3204
21.3204,11.3204
-21.3204,11.3204
21.3204,-11.3204
-21.3204,-11.3204
11.3204,-21.3204
-11.3204,-21.3204
-10.9109,21.5
10.9109,21.5
21.5,10.9109
-21.5,10.9109
21.5,-10.9109
-21.5,-10.9109
10.9109,-21.5
-10.9109,-21.5
-10.6278,21.6278
10.6278,21.6278
21.6278,10.6278
-21.6278,10.6278
21.6278,-10.6278
-21.6278,-10.6278
10.6278,-21.6278
-10.6278,-21.6278
-10.2008,21.7992
10.2008,21.7992
21.7992,10.2008
-21.7992,10.2008
21.7992,-10.2008
-21.7992,-10.2008
10.2008,-21.7992
-10.2008,-21.7992
-10,21.8816
10,21.8816
21.8816,10
-21.8816,10
21.8816,-10
-21.8816,-10
10,-21.8816
-10,-21.8816
-9.91428,21.9143
9.91428,21.9143
21.9143,9.91428
-21.9143,9.91428
21.9143,-9.91428
-21.9143,-9.91428
9.91428,-21.9143
-9.91428,-21.9143
-9.6752,22
9.6752,22
22,9.6752
-22,9.6752
22,-9.6752
-22,-9.6752
9.6752,-22
-9.6752,-22
-9.18256,22.1826
9.18256,22.1826
22.1826,9.18256
-22.1826,9.18256
22.1826,-9.18256
-22.1826,-9.18256
9.18256,-22.1826
-9.18256,-22.1826
-8.63754,22.3625
8.63754,22.3625
22.3625,8.63754
-22.3625,8.63754
22.3625,-8.63754
-22.3625,-8.63754
8.63754,-22.3625
-8.63754,-22.3625
-8.43046,22.4305
8.43046,22.4305
22.4305,8.43046
-22.4305,8.43046
22.4305,-8.43046
-22.4305,-8.43046
8.43046,-22.4305
-8.43046,-22.4305
-8,22.5654
8,22.5654
22.5654,8
-22.5654,8
22.5654,-8
-22.5654,-8
8,-22.5654
-8,-22.5654
-7.65946,22.6595
7.65946,22.6595
22.6595,7.65946
-22.6595,7.65946
22.6595,-7.65946
-22.6595,-7.65946
7.65946,-22.6595
-7.65946,-22.6595
-7.5,22.7057
7.5,22.7057
22.7057,7.5
-22.7057,7.5
22.7057,-7.5
-22.7057,-7.5
7.5,-22.7057
-7.5,-22.7057
-7.22528,22.7747
7.22528,22.7747
22.7747,7.22528
-22.7747,7.22528
22.7747,-7.22528
-22.7747,-7.22528
7.22528,-22.7747
-7.22528,-22.7747
-6.86797,22.868
6.86797,22.868
22.868,6.86797
22.868,-6.86797
-22.868,6.86797
-22.868,-6.86797
6.86797,-22.868
-6.86797,-22.868
-6.5,22.9603
6.5,22.9603
22.9603,6.5
22.9603,-6.5
-22.9603,6.5
-22.9603,-6.5
6.5,-22.9603
-6.5,-22.9603
-6.05498,23.055
6.05498,23.055
23.055,6.05498
23.055,-6.05498
-23.055,6.05498
-23.055,-6.05498
6.05498,-23.055
-6.05498,-23.055
-6,23.0675
6,23.0675
23.0675,6
23.0675,-6
-23.0675,6
-23.0675,-6
6,-23.0675
-6,-23.0675
-5.9169,23.0831
5.9169,23.0831
23.0831,5.9169
23.0831,-5.9169
-23.0831,5.9169
-23.0831,-5.9169
5.9169,-23.0831
-5.9169,-23.0831
-5.5,23.1715
5.5,23.1715
23.1715,5.5
23.1715,-5.5
-23.1715,5.5
-23.1715,-5.5
5.5,-23.1715
-5.5,-23.1715
-5.22102,23.221
5.22102,23.221
23.221,5.22102
23.221,-5.22102
-23.221,5.22102
-23.221,-5.22102
5.22102,-23.221
-5.22102,-23.221
-4.68918,23.3108
4.68918,23.3108
23.3108,4.68918
23.3108,-4.68918
-23.3108,4.68918
-23.3108,-4.68918
4.68918,-23.3108
-4.68918,-23.3108
-4.5,23.344
4.5,23.344
23.344,4.5
23.344,-4.5
-23.344,4.5
-23.344,-4.5
-4.5,-23.344
4.5,-23.344
-4.36355,23.3635
4.36355,23.3635
23.3635,4.36355
23.3635,-4.36355
-23.3635,4.36355
-23.3635,-4.36355
-4.36355,-23.3635
4.36355,-23.3635
-4,23.4203
4,23.4203
23.4203,4
23.4203,-4
-23.4203,4
-23.4203,-4
-4,-23.4203
4,-23.4203
-3.52395,23.4761
3.52395,23.4761
23.4761,3.52395
23.4761,-3.52395
-23.4761,3.52395
-23.4761,-3.52395
-3.52395,-23.4761
3.52395,-23.4761
-3.5,23.4793
3.5,23.4793
23.4793,3.5
23.4793,-3.5
-23.4793,3.5
-23.4793,-3.5
-3.5,-23.4793
3.5,-23.4793
-3.48134,23.4813
3.48134,23.4813
23.4813,3.48134
23.4813,-3.48134
-23.4813,3.48134
-23.4813,-3.48134
-3.48134,-23.4813
3.48134,-23.4813
-3.29603,23.5
3.29603,23.5
23.5,3.29603
23.5,-3.29603
-23.5,3.29603
-23.5,-3.29603
-3.29603,-23.5
3.29603,-23.5
-2.57534,23.5753
2.57534,23.5753
23.5753,2.57534
23.5753,-2.57534
-23.5753,2.57534
-23.5753,-2.57534
-2.57534,-23.5753
2.57534,-23.5753
-2.41162,23.5884
2.41162,23.5884
23.5884,2.41162
23.5884,-2.41162
-23.5884,2.41162
-23.5884,-2.41162
-2.41162,-23.5884
2.41162,-23.5884
-2,23.6239
2,23.6239
23.6239,2
23.6239,-2
-23.6239,2
-23.6239,-2
-2,-23.6239
2,-23.6239
-1.64171,23.6417
1.64171,23.6417
23.6417,1.64171
23.6417,-1.64171
-23.6417,1.64171
-23.6417,-1.64171
-1.64171,-23.6417
1.64171,-23.6417
-1.34362,23.6564
1.34362,23.6564
23.6564,1.34362
23.6564,-1.34362
-23.6564,1.34362
-23.6564,-1.34362
-1.34362,-23.6564
1.34362,-23.6564
0,23.6905
23.6905,0
-23.6905,0
0,-23.6905
-0.679264,23.6793
0.679264,23.6793
23.6793,0.679264
23.6793,-0.679264
-23.6793,0.679264
-23.6793,-0.679264
-0.679264,-23.6793
0.679264,-23.6793
-0.315157,23.6848
0.315157,23.6848
23.6848,0.315157
23.6848,-0.315157
-23.6848,0.315157
-23.6848,-0.315157
-0.315157,-23.6848
0.315157,-23.6848
