Time,Elastic Energy,Bulk free energy,Gradient Energy,Total Energy
0.1,3.177553365,5.522671004,32.63161679,41.33184115
0.15,3.135644328,6.382180328,8.775862206,18.29368686
0.175,3.11664847,6.767532008,6.942381724,16.8265622
0.1875,3.115255389,6.807614162,6.579728458,16.50259801
0.2125,3.112549649,6.820439417,6.444573324,16.37756239
0.225,3.109705028,6.874407548,6.193318908,16.17743148
0.25,3.108008661,6.891478906,6.093757148,16.09324472
0.3,3.105484776,6.932897428,5.910696485,15.94907869
0.325,3.100771444,6.999254331,5.626618384,15.72664416
0.375,3.098857749,7.028936469,5.510926599,15.63872082
0.4,3.095210774,7.080830637,5.317546441,15.49358785
0.45,3.093659307,7.104192172,5.235078894,15.43293037
0.475,3.090679459,7.147217464,5.091038741,15.32893566
0.525,3.089369323,7.166619003,5.028010278,15.2839986
0.625,3.086846741,7.203492846,4.914688408,15.205028
0.675,3.082523564,7.267476203,4.729554688,15.07955446
0.775,3.080585671,7.296128806,4.652149231,15.02886371
0.825,3.077146857,7.347049851,4.520005697,14.94420241
0.925,3.075575599,7.370646481,4.462296252,14.90851833
0.975,3.072724351,7.413026535,4.361333693,14.84708458
1.075,3.071403006,7.433043087,4.316030261,14.82047635
1.275,3.068970152,7.469345077,4.235390879,14.77370611
1.375,3.064724668,7.533932939,4.100973464,14.69963107
1.575,3.062851445,7.561846244,4.045204489,14.66990218
1.675,3.059489139,7.613020813,3.94814207,14.62065202
1.875,3.057981028,7.635727683,3.906401855,14.60011057
2.275,3.055223276,7.67783533,3.832062452,14.56512106
2.475,3.050601071,7.748955604,3.71319845,14.51275513
2.875,3.048609405,7.779317751,3.664933705,14.49286086
3.075,3.045156047,7.832685269,3.583518988,14.4613603
3.475,3.043645036,7.856153837,3.549006599,14.44880547
4.275,3.040962929,7.898040004,3.489232522,14.42823546
4.675,3.036704351,7.966206581,3.39659683,14.39950776
5.475,3.034961649,7.993787289,3.36053717,14.38928611
5.875,3.032107431,8.040618228,3.301121933,14.37384759
6.675,3.030931641,8.06017934,3.276844349,14.36795533
8.275,3.028964148,8.093805611,3.235820608,14.35859037
9.075,3.026220376,8.144234553,3.175610886,14.34606582
10.675,3.025245196,8.162884675,3.153612418,14.34174229
13.875,3.023882243,8.192819232,3.11860059,14.33530207
15.475,3.022556308,8.231010753,3.073848877,14.32741594
18.675,3.022318139,8.243193205,3.059323444,14.32483479
25.075,3.022280513,8.260251722,3.038440646,14.32097288
28.275,3.023087434,8.276580688,3.016015909,14.31568403
34.675,3.023758094,8.279359209,3.01043191,14.31354921
47.475,3.025265055,8.28072475,3.003645821,14.30963563
73.075,3.028565085,8.273936165,2.999962906,14.30246416
85.875,3.035444641,8.251770705,3.002082872,14.28929822
111.475,3.039096303,8.239494603,3.004439812,14.28303072
124.275,3.045879874,8.216563085,3.008556356,14.27099931
149.875,3.04928427,8.205310174,3.01059106,14.2651855
162.675,3.055739667,8.183728709,3.014433459,14.25390183
188.275,3.058960501,8.173207472,3.016236767,14.24840474
201.075,3.065149289,8.152735415,3.019780099,14.2376648
226.675,3.068232487,8.142750801,3.021421503,14.23240479
239.475,3.07420953,8.123153474,3.024719192,14.2220822
265.075,3.077184978,8.113589476,3.026233558,14.21700801
277.875,3.082989825,8.094700948,3.029327866,14.20701864
303.475,3.085877976,8.085480335,3.030736935,14.20209525
316.275,3.091539182,8.06718367,3.033657446,14.1923803
341.875,3.094354621,8.058251525,3.034976606,14.18758275
354.675,3.099893392,8.040461333,3.037745,14.17809973
380.275,3.102646888,8.031776777,3.038986094,14.17340976
431.475,3.108079434,8.014428337,3.041619412,14.16412718
457.075,3.118064474,7.982296864,3.045856631,14.14621797
508.275,3.123568224,7.965390535,3.048425428,14.13738419
533.875,3.133508134,7.933892055,3.052649983,14.12005017
585.075,3.138778891,7.917806021,3.054902903,14.11148781
610.675,3.14854173,7.887099512,3.059000314,14.09464156
661.875,3.153645363,7.871656652,3.061012483,14.0863145
687.475,3.163230762,7.841706539,3.064970102,14.0699074
738.675,3.168201775,7.826767476,3.066824499,14.06179375
764.275,3.17762406,7.797500065,3.070668177,14.0457923
815.475,3.182483471,7.782976604,3.072417044,14.03787712
841.075,3.1917574,7.754313251,3.076186514,14.02225716
892.275,3.19651967,7.740145742,3.077864089,14.0145295
917.875,3.205657749,7.712017189,3.081597655,13.99927259
969.075,3.210333531,7.69816174,3.083228597,13.99172387
994.675,3.219345876,7.670512005,3.086957158,13.97681504
1045.875,3.22394331,7.656934681,3.088560142,13.96943813
1071.475,3.232838072,7.629720777,3.092305752,13.9548646
1122.675,3.237363514,7.616394737,3.093895088,13.94765334
1148.275,3.246147367,7.589584868,3.097671558,13.93340379
1199.475,3.250605872,7.576488618,3.09925818,13.92635267
1225.075,3.259284425,7.550059882,3.103072569,13.91241688
1276.275,3.263680081,7.537175979,3.104664833,13.90552089
1301.875,3.272258194,7.51111203,3.108519246,13.89188947
1353.075,3.276594378,7.498426053,3.110123611,13.88514404
1378.675,3.285076385,7.472715012,3.114016906,13.8718083
1429.875,3.289355943,7.460214781,3.115638446,13.86520917
1455.475,3.297745784,7.434847594,3.119567594,13.85216097
1506.675,3.301971168,7.422522679,3.121210283,13.84570413
1532.275,3.310272451,7.397492067,3.125171231,13.83293575
1583.475,3.314445798,7.385333593,3.126837986,13.82661738
1609.075,3.322661798,7.360633589,3.130826006,13.81412139
1660.275,3.326784984,7.348634294,3.132518525,13.8079378
1685.875,3.334918597,7.324260268,3.13652815,13.79570702
1737.075,3.338993261,7.312414729,3.138246635,13.78965462
1762.675,3.347046945,7.2883637,3.142271379,13.77768202
1813.875,3.351074501,7.276668592,3.144014248,13.77175734
1839.475,3.359050212,7.25293959,3.148046305,13.76003611
1890.675,3.363031858,7.241393867,3.149810016,13.75423574
1916.275,3.370931018,7.21798815,3.153840113,13.74275928
1967.475,3.374867753,7.206593043,3.155619167,13.73707996
1993.075,3.382691249,7.183514028,3.159636673,13.72584195
2044.275,3.386583901,7.172272814,3.161423837,13.72028055
2069.875,3.394332125,7.149525696,3.165417139,13.70927496
2121.075,3.39818139,7.138443257,3.167203867,13.70382851
2146.675,3.405854321,7.116034391,3.171160935,13.69304965
2197.875,3.409660808,7.10511662,3.172937923,13.68771535
2223.475,3.417258112,7.0830528,3.17684693,13.67715784
2274.675,3.421022379,7.072305974,3.178604698,13.67193305
2300.275,3.428543516,7.050593764,3.182454572,13.66159185
2351.475,3.432266107,7.040023968,3.184184007,13.65647408
2377.075,3.439710437,7.018669193,3.187964824,13.64634445
2428.275,3.443391895,7.008281865,3.189657612,13.64133137
2453.875,3.450758762,6.987289279,3.19336082,13.63140886
2505.075,3.454399635,6.97708888,3.195009765,13.62649828
2530.675,3.461688441,6.956461975,3.198628302,13.61677872
2581.875,3.465289279,6.946451773,3.200227543,13.6119686
2607.475,3.472499538,6.926192651,3.203755896,13.60244809
2658.675,3.476060885,6.916374584,3.205301051,13.59773652
2684.275,3.483192273,6.89648383,3.20873533,13.58841143
2735.475,3.48671466,6.886858418,3.210223582,13.58379666
2761.075,3.493767046,6.867334968,3.2135616,13.57466361
2812.275,3.497250987,6.85790128,3.214991725,13.57014399
2837.875,3.504224459,6.83874231,3.218233065,13.56119983
2889.075,3.507670451,6.829497987,3.219605402,13.55677384
2914.675,3.514565322,6.810698875,3.222751421,13.54801562
2965.875,3.51797384,6.801640225,3.224067758,13.54368182
2991.475,3.524790644,6.783194627,3.227121487,13.53510676
3042.675,3.52816214,6.77431679,3.228384889,13.53086382
3068.275,3.534901608,6.756216843,3.231350821,13.52246927
3119.475,3.538236509,6.747514018,3.232565384,13.51831591
3145.075,3.544899536,6.729750652,3.235449178,13.51009937
3196.275,3.548198238,6.721216364,3.236619759,13.50603436
3221.875,3.554785839,6.703779675,3.239427871,13.49799339
3273.075,3.558048704,6.695407042,3.240559807,13.49401555
3298.675,3.564561971,6.678286674,3.243299137,13.48614778
3349.875,3.567789327,6.670068662,3.244397978,13.48225597
3375.475,3.574229391,6.653254146,3.247075537,13.47455907
3426.675,3.577421525,6.645183782,3.248146821,13.47075213
3452.275,3.583789522,6.628664815,3.250769459,13.4632238
3503.475,3.586946693,6.620735354,3.251818528,13.45950058
3529.075,3.593243736,6.60450199,3.254392742,13.45213847
3580.275,3.596366174,6.596707027,3.255424605,13.44849781
3605.875,3.602593339,6.580749804,3.257956404,13.44129955
3657.075,3.605681254,6.573083348,3.258975644,13.43774025
3682.675,3.611839565,6.55739334,3.261470481,13.43070339
3733.875,3.614893159,6.549849853,3.262481199,13.42722421
3759.475,3.620983588,6.534418692,3.264943936,13.42034622
3810.675,3.62400306,6.526993097,3.265949721,13.41694588
3836.275,3.630026522,6.511812961,3.268384629,13.41022411
3887.475,3.633012077,6.50450064,3.269388554,13.40690127
3913.075,3.638969434,6.489564231,3.271799324,13.40033299
3964.275,3.64192129,6.482361009,3.272803951,13.39708625
3989.875,3.647813357,6.467661527,3.275193728,13.39066861
4041.075,3.650731748,6.460563651,3.276201127,13.38749653
4066.675,3.656559294,6.446094762,3.278572537,13.38122659
4117.875,3.659444477,6.439098879,3.279584312,13.37812767
4143.475,3.665208232,6.424854686,3.281939501,13.37200242
4194.675,3.668060486,6.417957818,3.282956825,13.36897513
4297.075,3.673761148,6.403932833,3.285297507,13.36299149
4348.275,3.684035042,6.378549585,3.288978502,13.35156313
4450.675,3.689878426,6.364564611,3.291505702,13.34594874
4501.875,3.700229833,6.339283615,3.2955245,13.33503795
4604.275,3.705878254,6.325861997,3.297940584,13.32968083
4655.475,3.71610709,6.301055132,3.302092171,13.31925439
4757.875,3.721591517,6.288157067,3.304390434,13.31413902
4809.075,3.731654367,6.263883974,3.308637602,13.30417594
4911.475,3.736992006,6.251459834,3.310838278,13.29929012
4962.675,3.746872423,6.227751389,3.315145824,13.28976964
5065.075,3.752073784,6.215756611,3.317271925,13.28510232
5116.275,3.761765509,6.19262778,3.321611091,13.27600438
5218.675,3.766837762,6.181027197,3.323680359,13.27154532
5269.875,3.776339264,6.158482029,3.328029514,13.26285081
5372.275,3.781287827,6.147248627,3.330053938,13.25859039
5423.475,3.790599931,6.125284498,3.334396756,13.25028119
5525.875,3.795429218,6.114397404,3.336383772,13.24621039
5577.075,3.804553903,6.093008249,3.340707181,13.23826933
5679.475,3.809267673,6.082451164,3.342660817,13.23437965
5730.675,3.818207422,6.061629622,3.34695345,13.22679049
5833.075,3.822808955,6.051389742,3.34887519,13.22307389
5884.275,3.831566381,6.031128379,3.353126466,13.21582122
5986.675,3.836058586,6.021195594,3.355015893,13.21227007
6037.875,3.844636238,6.001487411,3.359215619,13.20533927
6140.275,3.849021723,5.991853642,3.361070965,13.20194633
6191.475,3.857422006,5.972692107,3.36520932,13.19532343
6293.875,3.861703141,5.963350722,3.367027943,13.19208181
6345.075,3.869928297,5.944729532,3.371095664,13.18575349
6447.475,3.874107281,5.935674825,3.372874473,13.18265658
6498.675,3.882159427,5.917587566,3.376863096,13.17661009
6601.075,3.886238339,5.908814326,3.378598904,13.17365157
6652.275,3.894119509,5.891254182,3.382500969,13.16787466
6754.675,3.898100357,5.882757354,3.384190759,13.16504847
6805.875,3.905812561,5.865716898,3.387999935,13.15952939
6908.275,3.909697319,5.85749136,3.389641041,13.15682972
6959.475,3.917242583,5.84096246,3.393352156,13.1515572
