x,y
-8,-22.526
-8.40047,-22.4005
-9.15295,-22.1529
-9.56583,-22
-8.69664,-22.3034
-7.27882,-22.7212
-7.5,-22.6657
-7.62843,-22.6284
-6.83652,-22.8365
-6.5,-22.9209
-6.02228,-23.0223
-6,-23.0274
-5.1878,-23.1878
-4.73607,-23.2639
-5.5,-23.1326
-5.96634,-23.0337
-4.5,-23.3053
-4.32957,-23.3296
-4,-23.381
-3.44644,-23.4464
-2.91262,-23.5
-2.45433,-23.5457
-2.53895,-23.539
-3.5,-23.4407
-3.5687,-23.4313
-2,-23.5849
-1.60438,-23.6044
-1.38484,-23.6152
-0.354782,-23.6452
-0.640883,-23.6409
0,-23.6517
0.354782,-23.6452
0.640883,-23.6409
1.60438,-23.6044
1.38484,-23.6152
2,-23.5849
2.91262,-23.5
3.44644,-23.4464
2.45433,-23.5457
2.53895,-23.539
3.5,-23.4407
3.5687,-23.4313
4,-23.381
4.73607,-23.2639
5.1878,-23.1878
4.5,-23.3053
4.32957,-23.3296
5.5,-23.1326
5.96634,-23.0337
6,-23.0274
6.83652,-22.8365
6.5,-22.9209
6.02228,-23.0223
7.27882,-22.7212
7.5,-22.6657
8,-22.526
7.62843,-22.6284
8.40047,-22.4005
8.69664,-22.3034
9.15295,-22.1529
9.56583,-22
-12.6217,-20.6217
-12.5,-20.688
-12,-20.9481
-12.1111,-20.8889
-12.832,-20.5
-13.2587,-20.2587
-13.6759,-20
-11.2922,-21.2922
-10.8179,-21.5
-10.2685,-21.7315
-10.5989,-21.5989
-11.5,-21.1953
-11.9655,-20.9655
-10,-21.8418
-9.88544,-21.8854
9.88544,-21.8854
10,-21.8418
10.8179,-21.5
11.2922,-21.2922
10.2685,-21.7315
10.5989,-21.5989
11.5,-21.1953
12,-20.9481
11.9655,-20.9655
12.6217,-20.6217
12.5,-20.688
12.1111,-20.8889
12.832,-20.5
13.2587,-20.2587
13.6759,-20
-16,-18.3111
-16.1693,-18.1693
-16.3572,-18
-15.0587,-19.0587
-14.6424,-19.3576
-15.5,-18.7194
-15.6231,-18.6231
-14.5,-19.4607
-14.477,-19.477
-14,-19.7975
-13.8774,-19.8774
13.8774,-19.8774
14,-19.7975
14.6424,-19.3576
15.0587,-19.0587
14.5,-19.4607
14.477,-19.477
15.5,-18.7194
16,-18.3111
15.6231,-18.6231
16.1693,-18.1693
16.3572,-18
-18,-16.3573
-18.1694,-16.1694
-18.3113,-16
-17.2048,-17.2048
-16.8991,-17.5
-16.6962,-17.6962
-17.5,-16.8992
-17.6962,-16.6962
16.8991,-17.5
17.2048,-17.2048
16.6962,-17.6962
17.5,-16.8992
18,-16.3573
17.6962,-16.6962
18.1694,-16.1694
18.3113,-16
-19.0588,-15.0588
-18.7195,-15.5
-18.6232,-15.6232
-19.3582,-14.6418
-19.4609,-14.5
-19.4771,-14.4771
-19.7977,-14
18.7195,-15.5
19.0588,-15.0588
18.6232,-15.6232
19.3582,-14.6418
19.4609,-14.5
19.4771,-14.4771
19.7977,-14
-20.622,-12.622
-20.5,-12.8328
-20.259,-13.259
-20,-13.6763
-20.6885,-12.5
-20.9485,-12
-20.89,-12.11
-19.8775,-13.8775
19.8775,-13.8775
20,-13.6763
20.622,-12.622
20.5,-12.8328
20.259,-13.259
20.6885,-12.5
20.9485,-12
20.89,-12.11
-21.2925,-11.2925
-21.1956,-11.5
-20.9658,-11.9658
-21.5,-10.8189
-21.7323,-10.2677
-21.5992,-10.5992
-21.8423,-10
21.1956,-11.5
21.2925,-11.2925
20.9658,-11.9658
21.5,-10.8189
21.7323,-10.2677
21.5992,-10.5992
21.8423,-10
-22.1532,-9.15318
-22,-9.5667
-22.3039,-8.69612
-22.4009,-8.40087
-22.5267,-8
-21.8857,-9.88571
21.8857,-9.88571
22,-9.5667
22.1532,-9.15318
22.3039,-8.69612
22.4009,-8.40087
22.5267,-8
-22.7218,-7.27821
-22.6662,-7.5
-22.6288,-7.6288
-22.8371,-6.83707
-22.9218,-6.5
-23.023,-6.02305
-23.0283,-6
22.6662,-7.5
22.7218,-7.27821
22.6288,-7.6288
22.8371,-6.83707
22.9218,-6.5
23.023,-6.02305
23.0283,-6
-23.1884,-5.18839
-23.1334,-5.5
-23.0348,-5.96517
-23.2651,-4.73492
-23.3061,-4.5
-23.3305,-4.33047
-23.3817,-4
23.1334,-5.5
