Time,Elastic Energy,Bulk free energy,Gradient Energy,Total Energy
0.1,3.257630607,5.522671004,32.63161679,41.4119184
0.15,3.214493155,6.382051967,8.776938185,18.37348331
0.175,3.195372177,6.767343311,6.942820071,16.90553556
0.1875,3.193953326,6.80746806,6.580198956,16.58162034
0.2125,3.191228658,6.820344818,6.444942706,16.45651618
0.225,3.188360085,6.874358602,6.19357898,16.25629767
0.25,3.186651747,6.891439101,6.093981782,16.17207263
0.3,3.184107568,6.932881154,5.910860357,16.02784908
0.325,3.179360237,6.999256596,5.626721981,15.80533881
0.375,3.177430714,7.028943674,5.511013049,15.71738744
0.4,3.173755488,7.080855562,5.317592504,15.57220355
0.45,3.172190906,7.104224709,5.235109877,15.51152549
0.475,3.16918695,7.147264315,5.091041313,15.40749258
0.525,3.167865387,7.166673394,5.028000452,15.36253923
0.625,3.165321608,7.203560064,4.91465639,15.28353806
0.675,3.160962385,7.267560779,4.729499623,15.15802279
0.775,3.159007051,7.296214796,4.652090638,15.10731249
0.825,3.15553625,7.347157046,4.519922521,15.02261582
0.925,3.153950355,7.370761858,4.462203167,14.98691538
0.975,3.15107108,7.413161214,4.361219484,14.92545178
1.075,3.149736919,7.433187539,4.315905238,14.8988297
1.275,3.147279111,7.469507772,4.235247057,14.85203394
1.375,3.14299284,7.534122701,4.100806324,14.77792186
1.575,3.141098794,7.562039819,4.045037226,14.74817584
1.675,3.137699905,7.613247199,3.947946374,14.69889348
1.875,3.136174412,7.635966473,3.906196584,14.67833747
2.275,3.133384793,7.678105081,3.83183104,14.64332091
2.475,3.128711805,7.749266197,3.712940158,14.59091816
2.875,3.126694517,7.779638038,3.66467442,14.57100697
3.075,3.12319669,7.833061545,3.583218095,14.53947633
3.475,3.121665432,7.856551257,3.548691781,14.52690847
4.275,3.118945958,7.89849048,3.488879333,14.50631577
4.675,3.114632535,7.966726449,3.396202531,14.47756152
5.475,3.112861548,7.994331181,3.36013643,14.46732916
5.875,3.109961812,8.041254979,3.300657141,14.45187393
6.675,3.108765504,8.060850622,3.276359518,14.44597564
8.275,3.106762395,8.094560913,3.235278558,14.43660187
9.075,3.103970503,8.145096103,3.175006839,14.42407345
10.675,3.102971315,8.163791107,3.152987454,14.41974988
13.875,3.101572069,8.193852343,3.117888295,14.41331271
15.475,3.100200523,8.232186323,3.073057181,14.40544403
18.675,3.099940872,8.244447084,3.058485303,14.40287326
25.075,3.099871063,8.261673166,3.037490777,14.39903501
28.275,3.100634909,8.278219747,3.014948437,14.39380309
34.675,3.101288124,8.281103994,3.009305934,14.39169805
47.475,3.102767186,8.282669716,3.00240877,14.38784567
73.075,3.106024319,8.27618943,2.998589131,14.38080288
85.875,3.112846961,8.254570329,3.000484568,14.36790186
111.475,3.116499673,8.242454273,3.00280492,14.36175887
124.275,3.123268752,8.219874331,3.006827839,14.34997092
149.875,3.126679268,8.20876284,3.008831983,14.34427409
162.675,3.133134272,8.187467715,3.012618642,14.33322063
188.275,3.136362872,8.177084448,3.014388291,14.32783561
201.075,3.142558632,8.156871284,3.017887239,14.31731715
226.675,3.145650849,8.14701985,3.019495023,14.31216572
239.475,3.151639784,8.127665052,3.022753346,14.30205818
265.075,3.154625249,8.118229802,3.024234814,14.29708987
277.875,3.160445602,8.099572429,3.027292422,14.28731045
303.475,3.163344571,8.090476752,3.028669377,14.2824907
316.275,3.169024052,8.072402738,3.031554691,14.27298148
341.875,3.171850956,8.063592244,3.032842476,14.26828568
354.675,3.177410173,8.04601808,3.035576498,14.25900475
380.275,3.180175659,8.037452313,3.036786902,14.25441487
431.475,3.185630374,8.020314599,3.039386251,14.24533122
457.075,3.195600541,7.988846283,3.043395158,14.22784198
508.275,3.201151625,7.972067784,3.045990109,14.21920952
533.875,3.211106003,7.94109432,3.050082808,14.20228313
585.075,3.216418612,7.925170828,3.052328205,14.19391765
610.675,3.226206614,7.894932339,3.05632887,14.17746782
661.875,3.231348638,7.879671016,3.058313783,14.16933344
687.475,3.240965015,7.850156045,3.062192388,14.15331345
738.675,3.245972333,7.835407065,3.064009291,14.14538869
764.275,3.255429412,7.806552648,3.067784129,14.12976619
815.475,3.260323682,7.792222698,3.069490068,14.12203645
841.075,3.269635209,7.763955455,3.073197407,14.10678807
892.275,3.274431231,7.749982347,3.074829059,14.09924264
917.875,3.283609127,7.722235769,3.078505585,14.08435048
969.075,3.288317765,7.708574232,3.080088944,14.07698094
994.675,3.297371767,7.681293898,3.08376476,14.06243042
1045.875,3.302001316,7.667909136,3.085319325,14.05522978
1071.475,3.310939313,7.641053031,3.089016051,14.04100839
1122.675,3.315496254,7.627917589,3.090556704,14.03397055
1148.275,3.324324727,7.60145457,3.094287883,14.02006718
1199.475,3.328814218,7.588546467,3.095825991,14.01318668
1225.075,3.337538629,7.562454091,3.099598505,13.99959122
1276.275,3.341964848,7.549755471,3.101142777,13.9928631
1301.875,3.35058994,7.524017714,3.104958606,13.97956626
1353.075,3.354956343,7.511513792,3.106515799,13.97298593
1378.675,3.363486354,7.486118982,3.110373721,13.95997906
1429.875,3.367795855,7.473797248,3.111949163,13.95354227
1455.475,3.376234648,7.448736452,3.115846109,13.94081721
1506.675,3.380489755,7.436586182,3.117443988,13.93451993
1532.275,3.388840872,7.411852173,3.121375886,13.92206893
1583.475,3.393043771,7.399864237,3.122999294,13.9159073
1609.075,3.401310426,7.375451065,3.126961402,13.90372289
1660.275,3.405463033,7.363617996,3.128612161,13.89769319
1685.875,3.413648066,7.339521053,3.132598982,13.8857681
1737.075,3.41775205,7.327837283,3.134277363,13.8798667
1762.675,3.425857862,7.304053649,3.138282335,13.86819385
1813.875,3.42991466,7.292515777,3.139986769,13.86241721
1839.475,3.437943148,7.269044612,3.144001952,13.85098971
1890.675,3.441953972,7.257651591,3.14572885,13.84533441
1916.275,3.4499065,7.234494368,3.14974477,13.83414564
1967.475,3.453872356,7.223247498,3.151488532,13.82860839
1993.075,3.461749747,7.200407932,3.1554943,13.81765198
2044.275,3.465671466,7.189310618,3.157247556,13.81222964
2069.875,3.473474051,7.166794274,3.161231256,13.80149958
2121.075,3.477352326,7.155851565,3.162985296,13.79618919
2146.675,3.485080022,7.133665218,3.166934573,13.78567981
2197.875,3.488915457,7.122883201,3.168679923,13.78047858
2223.475,3.496567871,7.101034088,3.172582626,13.77018459
2274.675,3.500361019,7.090419238,3.174309644,13.7650899
2300.275,3.507937554,7.068914368,3.178154395,13.75500632
2351.475,3.511688951,7.058472965,3.179853822,13.75001574
2377.075,3.519188912,7.037318588,3.183630422,13.74013792
2428.275,3.522899096,7.027056246,3.185293824,13.73524917
2453.875,3.530321777,7.006257515,3.188993485,13.72557278
2505.075,3.533991288,6.996178854,3.190613571,13.72078371
2530.675,3.541336044,6.975739628,3.194229033,13.7113047
2581.875,3.544965425,6.965848052,3.195799871,13.70661335
2607.475,3.552231724,6.945770757,3.199325467,13.69732795
2658.675,3.555821513,6.93606832,3.200842627,13.69273246
2684.275,3.563008989,6.916353831,3.204274342,13.68363716
2735.475,3.566559709,6.906841149,3.205734979,13.67913584
2761.075,3.573668192,6.887488653,3.209070538,13.67022738
2812.275,3.57718035,6.878164872,3.210473418,13.66581864
2837.875,3.584209889,6.859171762,3.213712341,13.65709399
2889.075,3.587683974,6.850034584,3.215057803,13.65277636
2914.675,3.594634848,6.831396419,3.218201407,13.64423267
2965.875,3.598071328,6.822442203,3.21949125,13.64000478
2991.475,3.604944039,6.804152787,3.22254255,13.63163938
3042.675,3.608343359,6.795376713,3.223779849,13.62749992
3068.275,3.615138608,6.777428306,3.226743337,13.61931025
3119.475,3.61850119,6.768824608,3.227932205,13.615258
3145.075,3.625219843,6.751208241,3.230813542,13.60724163
3196.275,3.628546079,6.742770475,3.231958848,13.6032754
3221.875,3.635189128,6.725476332,3.234764502,13.59542996
3273.075,3.638479376,6.717197652,3.235871586,13.59154861
3298.675,3.645047892,6.700215455,3.238608462,13.58387181
3349.875,3.648302475,6.692088867,3.23968287,13.58007421
3375.475,3.654797574,6.675408235,3.24235797,13.57256378
3426.675,3.658016781,6.667426817,3.243405223,13.56884882
3452.275,3.664439585,6.651037541,3.246025378,13.5615025
3503.475,3.667623673,6.643194609,3.247050785,13.55786907
3529.075,3.673975285,6.627086858,3.24962245,13.55068459
3580.275,3.677124486,6.619376082,3.250630976,13.54713154
3605.875,3.683405978,6.603540525,3.253160098,13.5401066
3657.075,3.686520506,6.595956002,3.254156271,13.53663278
3682.675,3.692732899,6.58038387,3.25664822,13.52976499
3733.875,3.695812959,6.572920156,3.257636079,13.52636919
3759.475,3.701957227,6.557603253,3.26009562,13.5196561
3810.675,3.705003022,6.550255375,3.261078689,13.51633709
3836.275,3.711080083,6.535186067,3.263509987,13.50977614
3887.475,3.714091824,6.52794951,3.264491271,13.50653261
3913.075,3.720102546,6.513120692,3.266897911,13.50012115
3964.275,3.723080457,6.505991385,3.267879912,13.49695175
3989.875,3.729025661,6.491396448,3.270264934,13.49068704
4041.075,3.731969981,6.484370736,3.271249667,13.48759038
4066.675,3.737850444,6.470003532,3.273615603,13.48146958
4117.875,3.740761433,6.463078151,3.274604632,13.47844422
4220.275,3.746577894,6.448932959,3.27695355,13.4724644
4271.475,3.756977428,6.423670944,3.280419988,13.46106836
4373.875,3.762961892,6.409463757,3.283038179,13.45546383
4425.075,3.77346902,6.384201322,3.286912569,13.44458291
4527.475,3.779251054,6.370595306,3.289388911,13.43923527
4578.675,3.78964582,6.345763791,3.293425599,13.42883521
4681.075,3.79525733,6.332713943,3.295757328,13.4237286
4732.275,3.805490884,6.30838741,3.299910741,13.41378904
4834.675,3.810950443,6.295836185,3.302124597,13.40891122
4885.875,3.821003737,6.272053406,3.306354572,13.39941172
4988.275,3.826322752,6.259950229,3.308478638,13.39475162
5039.475,3.836188013,6.23673137,3.312752862,13.38567225
5141.875,3.841374245,6.22503658,3.314808714,13.38121954
5193.075,3.851049005,6.202389088,3.319103092,13.37254118
5295.475,3.856108292,6.191072189,3.321105706,13.36828619
5346.675,3.865592799,6.168995455,3.325402403,13.35999066
5449.075,3.870529879,6.158032715,3.327361661,13.35592426
5500.275,3.879825793,6.136521632,3.331646886,13.34799431
5602.675,3.8846447,6.125894307,3.333568916,13.34410792
5653.875,3.893754363,6.104941751,3.337831137,13.33652725
5756.275,3.898458629,6.09463492,3.339719239,13.33281279
5807.475,3.90738464,6.074233321,3.343947995,13.32556596
5909.875,3.911977398,6.064235091,3.345803293,13.32201578
5961.075,3.920722374,6.044377256,3.349988557,13.31508819
6063.475,3.925206431,6.034678122,3.351810523,13.31169508
6114.675,3.933772874,6.015357485,3.35594251,13.30507287
6217.075,3.938150775,6.005949763,3.357729436,13.30182997
6268.275,3.946541031,5.987160263,3.361798697,13.29549999
6370.675,3.950815107,5.978037548,3.36354814,13.2924008
6421.875,3.959031373,5.959773313,3.367545808,13.28635049
6524.275,3.963203803,5.950930004,3.369254976,13.28338878
6575.475,3.97124816,5.933184986,3.373173024,13.27760617
6677.875,3.975321017,5.924615886,3.3748391,13.274776
6729.075,3.983195482,5.907383565,3.378670542,13.26924959
6831.475,3.987170775,5.899083582,3.380290917,13.26654527
6882.675,3.994877345,5.88235678,3.384029914,13.26126404
6985.075,3.998757048,5.874320723,3.385602342,13.25868011
7036.275,4.006297744,5.858091523,3.389244215,13.25363348
7138.675,4.010083816,5.850313991,3.390766903,13.25116471
